reaction_id	name	lower_bound	upper_bound	reaction	gpr	is_exchange
rxn01575_c0	L-Isoleucine:2-oxoglutarate aminotransferase_c0	0.0	1000.0	cpd00023[c0] + cpd00508[c0] --> cpd00024[c0] + cpd00322[c0]	TX73_RS22650 or TX73_RS23855	False
rxn01603_c0	7,8-dihydropteroate:L-glutamate ligase (ADP-forming)_c0	0.0	1000.0	cpd00002[c0] + cpd00023[c0] + cpd00683[c0] --> cpd00008[c0] + cpd00009[c0] + cpd00067[c0] + cpd00330[c0]	TX73_RS00375	False
rxn01636_c0	N2-Acetyl-L-ornithine:L-glutamate N-acetyltransferase_c0	-1000.0	1000.0	cpd00023[c0] + cpd00342[c0] <=> cpd00064[c0] + cpd00477[c0]	TX73_RS03065	False
rxn01637_c0	N2-Acetyl-L-ornithine:2-oxoglutarate aminotransferase_c0	-1000.0	1000.0	cpd00024[c0] + cpd00342[c0] <=> cpd00023[c0] + cpd00918[c0]	TX73_RS24810	False
rxn01652_c0	S-Aminomethyldihydrolipoylprotein:(6S)-tetrahydrofolate aminomethyltransferase (ammonia-forming)_c0	-1000.0	1000.0	cpd00001[c0] + cpd00347[c0] <=> cpd00067[c0] + cpd02197[c0]	TX73_RS19925	False
rxn01672_c0	dCTP aminohydrolase_c0	0.0	1000.0	cpd00001[c0] + cpd00067[c0] + cpd00356[c0] --> cpd00013[c0] + cpd00358[c0]	TX73_RS24770	False
rxn01757_c0	L-cysteate:2-oxoglutarate aminotransferase_c0	-1000.0	1000.0	cpd00024[c0] + cpd00395[c0] <=> cpd00023[c0] + cpd03285[c0]	TX73_RS22440	False
rxn01800_c0	Deoxycytidine aminohydrolase_c0	0.0	1000.0	cpd00001[c0] + cpd00067[c0] + cpd00654[c0] --> cpd00013[c0] + cpd00412[c0]	TX73_RS05660	False
rxn01843_c0	2-phenylacetamide amidohydrolase_c0	-1000.0	1000.0	cpd00001[c0] + cpd00067[c0] + cpd01647[c0] <=> cpd00013[c0] + cpd00430[c0]	TX73_RS08750 or TX73_RS17805 or TX73_RS20510	False
rxn01917_c0	ATP:N-acetyl-L-glutamate 5-phosphotransferase_c0	-1000.0	1000.0	cpd00002[c0] + cpd00477[c0] <=> cpd00008[c0] + cpd02552[c0]	TX73_RS03255	False
rxn02008_c0	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase(ADP-forming)_c0	0.0	1000.0	cpd00002[c0] + cpd00186[c0] + cpd00890[c0] --> cpd00008[c0] + cpd00009[c0] + cpd00067[c0] + cpd00525[c0]	TX73_RS18305	False
rxn02011_c0	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:(L)-meso-2,6-diaminoheptanedioate gamma-ligase (ADP-forming)_c0	0.0	1000.0	cpd00002[c0] + cpd00516[c0] + cpd00525[c0] --> cpd00008[c0] + cpd00009[c0] + cpd00067[c0] + cpd02964[c0]	TX73_RS18320	False
rxn02222_c0	Indole-3-acetamide amidohydrolase_c0	0.0	1000.0	cpd00001[c0] + cpd01747[c0] --> cpd00013[c0] + cpd00703[c0]	TX73_RS08750 or TX73_RS17805 or TX73_RS20510	False
rxn02275_c0	4-Guanidinobutanamide amidohydrolase_c0	0.0	1000.0	cpd00001[c0] + cpd01973[c0] --> cpd00013[c0] + cpd00762[c0]	TX73_RS08750 or TX73_RS17805 or TX73_RS20510	False
rxn02320_c0	5-Amino-2-oxopentanoate:2-oxoglutarate aminotransferase_c0	-1000.0	1000.0	cpd00024[c0] + cpd00807[c0] <=> cpd00023[c0] + cpd00930[c0]	TX73_RS23035	False
rxn02374_c0	L-glutamate-5-semialdehyde cyclization (spontaneous)_c0	0.0	1000.0	cpd00858[c0] --> cpd00001[c0] + cpd00067[c0] + cpd02431[c0]		False
rxn02465_c0	N-acetyl-L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphrylating)_c0	-1000.0	1000.0	cpd00006[c0] + cpd00009[c0] + cpd00918[c0] <=> cpd00005[c0] + cpd00067[c0] + cpd02552[c0]	TX73_RS12875	False
rxn02475_c0	2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase_c0	0.0	1000.0	cpd00001[c0] + cpd00067[c0] + cpd00957[c0] --> cpd00013[c0] + cpd00931[c0]	TX73_RS14125	False
rxn02914_c0	3-Phosphoserine:2-oxoglutarate aminotransferase_c0	-1000.0	1000.0	cpd00024[c0] + cpd00738[c0] <=> cpd00023[c0] + cpd02069[c0]	TX73_RS22330	False
rxn03052_c0	5-Methyltetrahydropteroyltri-L-glutamate:L-homocysteine S-methyltransferase_c0	-1000.0	1000.0	cpd00135[c0] + cpd02738[c0] <=> cpd00060[c0] + cpd02555[c0]	TX73_RS11255 or TX73_RS12380	False
rxn03070_c0	L-4-hydroxyglutamate semialdehyde cyclization (spontaneous)_c0	0.0	1000.0	cpd03530[c0] --> cpd00001[c0] + cpd00067[c0] + cpd02625[c0]		False
rxn03084_c0	5'-Phosphoribosylformylglycinamide:L-glutamine amido-ligase (ADP-forming)_c0	0.0	1000.0	cpd00001[c0] + cpd00002[c0] + cpd00053[c0] + cpd02678[c0] --> cpd00008[c0] + cpd00009[c0] + cpd00023[c0] + cpd00067[c0] + cpd02826[c0]	TX73_RS19765 and TX73_RS19775 and TX73_RS08205	False
rxn03087_c0	N-Succinyl-L-2,6-diaminoheptanedioate:2-oxoglutarate amino-transferase_c0	-1000.0	1000.0	cpd00024[c0] + cpd02698[c0] <=> cpd00023[c0] + cpd02724[c0]	TX73_RS01450	False
rxn03135_c0	R04558_c0	0.0	1000.0	cpd00053[c0] + cpd02991[c0] --> cpd00023[c0] + 2.0 cpd00067[c0] + cpd02843[c0] + cpd02851[c0]	TX73_RS01615 or TX73_RS01625	False
rxn03188_c0	3-Ureidoisobutyrate amidohydrolase_c0	0.0	1000.0	cpd00001[c0] + 2.0 cpd00067[c0] + cpd03034[c0] --> cpd00011[c0] + cpd00013[c0] + cpd03063[c0]	TX73_RS08975	False
rxn03445_c0	O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase_c0	-1000.0	1000.0	cpd00023[c0] + cpd03606[c0] <=> cpd00024[c0] + cpd03607[c0]	TX73_RS22330	False
rxn03540_c0	R05225_c0	0.0	1000.0	4.0 cpd00001[c0] + 4.0 cpd00002[c0] + 4.0 cpd00053[c0] + cpd03916[c0] --> 4.0 cpd00008[c0] + 4.0 cpd00009[c0] + 4.0 cpd00023[c0] + 4.0 cpd00067[c0] + cpd03917[c0]	TX73_RS10800 and TX73_RS03715	False
rxn03839_c0	R05551_c0	0.0	1000.0	cpd00001[c0] + cpd01150[c0] --> cpd00013[c0] + cpd00400[c0]	TX73_RS08750 or TX73_RS17805 or TX73_RS20510	False
rxn03869_c0	Acylamide aminohydrolase_c0	0.0	1000.0	cpd00001[c0] + cpd06707[c0] --> cpd00013[c0] + cpd00153[c0]	TX73_RS08750 or TX73_RS17805 or TX73_RS20510	False
rxn04786_c0	L-2,4-diaminobutyrate:2-oxoglutarate 4-aminotransferase_c0	-1000.0	1000.0	cpd00023[c0] + cpd00346[c0] <=> cpd00024[c0] + cpd02095[c0]		False
rxn05064_c0	carbamate hydro-lyase_c0	0.0	1000.0	2.0 cpd00067[c0] + cpd01101[c0] --> cpd00011[c0] + cpd00013[c0]	TX73_RS10900	False
rxn05155_c0	L-glutamine ABC import_c0	0.0	1000.0	cpd00001[c0] + cpd00002[c0] + cpd00053[e0] --> cpd00008[c0] + cpd00009[c0] + cpd00053[c0] + cpd00067[c0]		False
rxn05171_c0	nitrate ABC import_c0	0.0	1000.0	cpd00001[c0] + cpd00002[c0] + cpd00209[e0] --> cpd00008[c0] + cpd00009[c0] + cpd00067[c0] + cpd00209[c0]	(RPA2112 and RPA2113 and RPA2114) or (RPA2631 and RPA2632 and RPA2633)	False
